id_usuario,fecha_compra,hora_compra,importe,descuento,importe_final,tienda
89790722X,2025-02-13,13:10:50,56.18,0.0,56.18,Donostia
,2025-06-14,08:42:04,106.71,0.0,106.71,Vitoria-Gasteiz
72286347S,2025-10-28,13:46:15,183.27,0.0,183.27,Bilbao
50370199S,2025-06-23,14:29:40,316.77,0.0,316.77,Bilbao
,2025-08-20,09:00:06,423.97,0.0,423.97,Bilbao
,2025-10-12,20:22:43,82.95,0.0,82.95,Donostia
95150032K,2025-10-16,10:28:50,471.51,0.0,471.51,Vitoria-Gasteiz
,2025-06-28,15:52:52,420.3,0.0,420.3,Donostia
,2025-04-14,19:26:41,135.18,0.0,135.18,Donostia
98417636S,2025-01-17,13:48:06,54.54,4.78,49.76,Donostia
85891304N,2025-04-28,20:24:17,392.75,0.0,392.75,Bilbao
32426649F,2025-11-18,13:14:30,268.58,0.0,268.58,Bilbao
91526743Z,2025-08-31,13:06:12,239.76,0.0,239.76,Bilbao
,2025-07-13,19:38:37,376.72,0.0,376.72,Vitoria-Gasteiz
61130759W,2025-10-05,20:44:10,278.23,46.88,231.35,Donostia
84108300Z,2025-03-13,19:55:13,462.97,0.0,462.97,Donostia
,2025-05-07,13:38:56,158.21,0.0,158.21,Vitoria-Gasteiz
,2025-08-06,12:25:16,79.43,0.0,79.43,Donostia
80200438J,2025-08-28,14:27:57,485.84,48.86,436.98,Donostia
,2025-07-19,15:56:49,359.88,0.0,359.88,Donostia
77951329M,2025-09-01,20:43:45,226.12,0.0,226.12,Bilbao
,2025-09-09,13:41:02,336.68,0.0,336.68,Bilbao
,2025-03-22,15:32:29,308.48,0.0,308.48,Donostia
26474141Z,2025-01-23,15:38:59,316.21,0.0,316.21,Donostia
,2025-01-29,19:19:16,93.4,0.0,93.4,Bilbao
91599483M,2025-06-01,15:39:32,132.96,0.0,132.96,Bilbao
71374519E,2025-10-07,14:31:34,129.93,0.0,129.93,Bilbao
,2025-01-29,14:35:59,84.67,0.0,84.67,Vitoria-Gasteiz
95106937M,2025-07-22,13:38:17,427.48,0.0,427.48,Donostia
,2025-03-07,13:08:38,314.61,0.0,314.61,Bilbao
65719920L,2025-07-13,13:05:10,255.55,0.0,255.55,Bilbao
25635136A,2025-06-27,14:53:41,80.24,0.0,80.24,Vitoria-Gasteiz
39362835Z,2025-09-16,14:15:03,255.84,0.0,255.84,Vitoria-Gasteiz
,2025-09-30,19:03:35,367.64,0.0,367.64,Bilbao
,2025-10-12,08:59:55,279.79,0.0,279.79,Bilbao
67965559F,2025-05-22,11:41:06,261.61,25.53,236.08,Vitoria-Gasteiz
85972386L,2025-07-18,12:10:01,280.13,51.24,228.89,Bilbao
,2025-08-14,19:01:07,475.43,0.0,475.43,Donostia
34161698M,2025-03-19,09:49:35,160.05,0.0,160.05,Vitoria-Gasteiz
,2025-06-16,17:53:27,487.24,0.0,487.24,Vitoria-Gasteiz
89596635C,2025-08-23,08:49:04,328.36,0.0,328.36,Bilbao
,2025-06-01,20:32:21,130.73,0.0,130.73,Donostia
64913402L,2025-02-14,12:39:27,183.62,0.0,183.62,Donostia
14687230M,2025-02-19,11:58:41,264.95,0.0,264.95,Donostia
,2025-10-17,14:36:46,242.77,0.0,242.77,Vitoria-Gasteiz
,2025-04-25,18:19:56,383.53,0.0,383.53,Vitoria-Gasteiz
,2025-01-15,20:05:33,360.68,0.0,360.68,Donostia
90300692R,2025-05-08,20:48:15,419.11,0.0,419.11,Vitoria-Gasteiz
,2025-09-30,14:08:17,154.87,0.0,154.87,Donostia
78711010L,2025-07-08,14:36:18,422.09,0.0,422.09,Bilbao
,2025-10-18,20:07:13,482.37,0.0,482.37,Bilbao
93442849J,2025-09-05,20:19:34,322.6,0.0,322.6,Bilbao
16133236R,2025-05-05,11:17:54,496.82,0.0,496.82,Donostia
,2025-07-13,14:33:29,304.98,0.0,304.98,Bilbao
,2025-04-19,13:48:10,18.46,0.0,18.46,Vitoria-Gasteiz
76983398Y,2025-05-27,20:45:19,419.83,0.0,419.83,Vitoria-Gasteiz
,2025-01-29,14:45:03,309.31,0.0,309.31,Vitoria-Gasteiz
93442849J,2025-11-30,13:20:20,52.81,0.0,52.81,Bilbao
88954045G,2025-04-28,12:56:04,418.66,0.0,418.66,Vitoria-Gasteiz
,2025-06-19,14:21:58,155.43,0.0,155.43,Vitoria-Gasteiz
95790150A,2025-01-18,11:18:21,83.61,0.0,83.61,Bilbao
43243270G,2025-10-19,17:16:57,149.01,0.0,149.01,Vitoria-Gasteiz
68419366R,2025-06-07,20:49:43,390.64,0.0,390.64,Donostia
56587725C,2025-12-13,13:18:41,211.13,0.0,211.13,Vitoria-Gasteiz
80832032G,2025-01-11,12:04:01,7.11,0.0,7.11,Donostia
14093163M,2025-03-09,13:19:30,363.46,0.0,363.46,Bilbao
,2025-09-16,19:14:58,259.3,0.0,259.3,Donostia
26826587P,2025-03-03,14:50:20,372.94,0.0,372.94,Donostia
99779377H,2025-03-09,20:17:58,37.64,0.0,37.64,Bilbao
67175711W,2025-08-30,19:44:32,309.31,0.0,309.31,Donostia
33768187R,2025-10-28,19:46:12,495.98,0.0,495.98,Donostia
,2025-07-22,17:12:42,325.41,0.0,325.41,Bilbao
37535214L,2025-10-24,14:33:39,323.23,0.0,323.23,Vitoria-Gasteiz
,2025-02-04,14:29:04,174.87,0.0,174.87,Donostia
42055530F,2025-03-14,13:24:21,229.54,0.0,229.54,Bilbao
72778935N,2025-12-02,14:09:27,441.91,0.0,441.91,Bilbao
64709656F,2025-11-17,13:26:00,418.0,69.57,348.43,Vitoria-Gasteiz
39884005G,2025-04-15,20:06:09,43.27,4.12,39.15,Bilbao
,2025-07-30,13:47:17,210.32,0.0,210.32,Vitoria-Gasteiz
91608323J,2025-09-11,11:08:10,228.92,0.0,228.92,Vitoria-Gasteiz
,2025-11-23,16:45:12,300.97,0.0,300.97,Donostia
59020738R,2025-03-27,12:52:10,260.7,0.0,260.7,Vitoria-Gasteiz
,2025-03-18,14:44:57,32.49,0.0,32.49,Vitoria-Gasteiz
43883562E,2025-07-25,15:54:22,88.13,0.0,88.13,Vitoria-Gasteiz
37797189R,2025-06-07,19:32:34,207.74,0.0,207.74,Bilbao
,2025-01-13,14:48:25,202.63,0.0,202.63,Vitoria-Gasteiz
,2025-07-23,20:38:07,352.51,0.0,352.51,Donostia
,2025-10-06,10:54:02,376.54,0.0,376.54,Donostia
77274080Z,2025-07-11,13:12:51,143.07,0.0,143.07,Bilbao
,2025-10-15,13:32:15,434.51,0.0,434.51,Donostia
18730950A,2025-08-18,19:50:46,304.63,0.0,304.63,Donostia
27957354A,2025-06-15,11:33:52,130.07,10.42,119.65,Donostia
,2025-03-09,19:41:01,144.44,0.0,144.44,Vitoria-Gasteiz
13210296Q,2025-09-23,19:03:35,416.49,63.29,353.2,Bilbao
,2025-01-09,11:56:41,355.2,0.0,355.2,Donostia
,2025-01-04,14:05:40,162.97,0.0,162.97,Donostia
,2025-12-29,12:41:11,418.46,0.0,418.46,Vitoria-Gasteiz
,2025-08-05,14:59:26,147.34,0.0,147.34,Bilbao
73849613V,2025-05-08,19:50:50,16.75,0.0,16.75,Bilbao
10269041R,2025-02-01,19:56:03,414.24,0.0,414.24,Vitoria-Gasteiz
,2025-08-30,13:42:04,146.86,0.0,146.86,Vitoria-Gasteiz
57427779E,2025-09-06,15:58:50,123.45,0.0,123.45,Donostia
22014907C,2025-11-07,16:54:46,211.07,18.58,192.49,Donostia
81808008K,2025-12-02,14:48:30,89.02,0.0,89.02,Bilbao
59408947Q,2025-03-11,13:48:07,427.72,66.07,361.65,Donostia
,2025-11-30,14:52:31,225.16,0.0,225.16,Vitoria-Gasteiz
69514359X,2025-06-28,19:50:47,487.51,42.84,444.67,Bilbao
46363287W,2025-03-07,15:26:26,124.09,0.0,124.09,Donostia
45136742R,2025-10-11,19:41:08,355.5,41.31,314.19,Donostia
68050529S,2025-05-10,14:19:12,252.2,38.14,214.06,Donostia
48344308X,2025-05-23,20:53:35,274.6,0.0,274.6,Donostia
73325533S,2025-02-14,14:55:21,223.57,0.0,223.57,Vitoria-Gasteiz
,2025-08-09,19:17:14,191.38,0.0,191.38,Vitoria-Gasteiz
,2025-05-03,19:02:53,23.21,0.0,23.21,Donostia
86018295C,2025-02-09,20:02:23,31.54,5.06,26.48,Donostia
,2025-05-30,13:48:40,119.02,0.0,119.02,Vitoria-Gasteiz
45469781T,2025-06-07,20:52:11,18.84,0.0,18.84,Donostia
,2025-07-31,12:18:14,317.58,0.0,317.58,Donostia
81109069Y,2025-05-08,13:05:19,244.1,0.0,244.1,Bilbao
68576275G,2025-10-01,13:36:05,477.8,69.02,408.78,Bilbao
96985194J,2025-12-29,19:57:14,473.2,79.51,393.69,Bilbao
29250261B,2025-08-16,19:48:15,423.3,0.0,423.3,Donostia
,2025-06-28,13:09:04,455.24,0.0,455.24,Vitoria-Gasteiz
35542477W,2025-11-12,14:35:14,348.72,0.0,348.72,Bilbao
46764962M,2025-01-08,13:35:16,72.67,0.0,72.67,Donostia
,2025-10-11,10:08:24,477.32,0.0,477.32,Vitoria-Gasteiz
69658589F,2025-06-21,14:45:57,457.24,35.46,421.78,Donostia
45081248Y,2025-01-05,19:25:58,134.63,0.0,134.63,Bilbao
52483292Y,2025-02-01,14:24:41,207.89,0.0,207.89,Donostia
,2025-10-07,19:10:49,349.28,0.0,349.28,Bilbao
84358204T,2025-08-24,10:09:51,358.22,0.0,358.22,Donostia
82929185V,2025-07-17,20:10:58,492.72,43.68,449.04,Donostia
90907506Y,2025-04-13,11:54:08,488.16,0.0,488.16,Vitoria-Gasteiz
46898298X,2025-10-18,14:00:19,450.93,0.0,450.93,Bilbao
,2025-08-11,16:32:35,403.82,0.0,403.82,Vitoria-Gasteiz
17369825H,2025-06-10,13:48:28,438.11,18.91,419.2,Bilbao
68776532T,2025-10-03,19:59:33,229.99,20.04,209.95,Donostia
,2025-09-18,08:43:43,169.36,0.0,169.36,Bilbao
51001283W,2025-05-22,13:30:10,401.33,0.0,401.33,Bilbao
34778083J,2025-11-16,15:33:48,216.91,0.0,216.91,Vitoria-Gasteiz
,2025-11-11,13:27:01,283.02,0.0,283.02,Bilbao
25795579K,2025-07-27,11:04:42,422.77,0.0,422.77,Donostia
,2025-06-23,08:38:53,321.71,0.0,321.71,Donostia
,2025-02-11,14:14:04,445.83,0.0,445.83,Donostia
64781290L,2025-11-09,18:46:24,253.18,0.0,253.18,Vitoria-Gasteiz
61402323M,2025-01-14,11:25:20,215.18,0.0,215.18,Bilbao
,2025-03-24,14:09:09,139.62,0.0,139.62,Donostia
32627174H,2025-05-22,19:53:49,434.79,0.0,434.79,Bilbao
67128043J,2025-05-28,19:35:00,436.08,36.27,399.81,Donostia
13890509G,2025-09-15,19:52:04,376.34,0.0,376.34,Vitoria-Gasteiz
